Id,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Website,Exchange
3692,PCG^G,Pacific Gas & Electric Co.,18.4148,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^g,NYSE
3693,PCG^H,Pacific Gas & Electric Co.,18.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^h,NYSE
3694,PCG^I,Pacific Gas & Electric Co.,18.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^i,NYSE
3695,PTN,"Palatin Technologies, Inc.",1.37,$278.2M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ptn,NYSE
3696,PZG,Paramount Gold Nevada Corp.,0.751,$19.92M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pzg,NYSE
3697,PRK,Park National Corporation,98.39,$1.64B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/prk,NYSE
3698,PED,Pedevco Corp.,2.1,$95.57M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped,NYSE
3699,PFNX,Pfenex Inc.,6.95,$218.94M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfnx,NYSE
3700,HNW,Pioneer Diversified High Income Trust,14.29,$119.08M,2007,n/a,n/a,https://www.nasdaq.com/symbol/hnw,NYSE
3701,PLAG,Planet Green Holdings Corp,4.455,$29.3M,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/plag,NYSE
3702,PLG,Platinum Group Metals Ltd.,1.2085,$40.78M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg,NYSE
3703,PLYM,"Plymouth Industrial REIT, Inc.",17.85,$94.18M,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/plym,NYSE
3704,PLYM^A,"Plymouth Industrial REIT, Inc.",25.372,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/plym^a,NYSE
3705,PLM,Polymet Mining Corp.,0.395,$127.28M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plm,NYSE
3706,PLM~,Polymet Mining Corp.,0.0037,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/plm~,NYSE
3707,PW,Power REIT,5.8,$10.85M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pw,NYSE
3708,PW^A,Power REIT,25.8048,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pw^a,NYSE
3709,PLX,"Protalix BioTherapeutics, Inc.",0.4224,$62.68M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx,NYSE
3710,RLGT,"Radiant Logistics, Inc.",6.43,$318.75M,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rlgt,NYSE
