Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Exchange
CWBR,"CohBar, Inc.",1.76,$70.32M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cwbr,NASDAQ
COHR,"Coherent, Inc.",120.32,$2.91B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/cohr,NASDAQ
CHRS,"Coherus BioSciences, Inc.",19.55,$1.36B,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/chrs,NASDAQ
COHU,"Cohu, Inc.",15.75,$646.02M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/cohu,NASDAQ
CLCT,"Collectors Universe, Inc.",19.02,$174M,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/clct,NASDAQ
COLL,"Collegium Pharmaceutical, Inc.",11.15,$372.26M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/coll,NASDAQ
CIGI,Colliers International Group Inc. ,69.19,$2.64B,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/cigi,NASDAQ
CLGN,"CollPlant Holdings, Ltd.",5.72,$21.82M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/clgn,NASDAQ
CBAN,"Colony Bankcorp, Inc.",16.75,$159.11M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cban,NASDAQ
COLB,"Columbia Banking System, Inc.",34.72,$2.55B,1992,Finance,Major Banks,https://www.nasdaq.com/symbol/colb,NASDAQ
CLBK,"Columbia Financial, Inc.",14.48,$1.68B,2018,Finance,Savings Institutions,https://www.nasdaq.com/symbol/clbk,NASDAQ
COLM,Columbia Sportswear Company,98.51,$6.73B,1998,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/colm,NASDAQ
CMCO,Columbus McKinnon Corporation,37.95,$889.5M,1996,Capital Goods,Construction/Ag Equipment/Trucks,https://www.nasdaq.com/symbol/cmco,NASDAQ
CMCSA,Comcast Corporation,42.56,$193.17B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/cmcsa,NASDAQ
CCNI,"Command Center, Inc.",5.4363,$25.17M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/ccni,NASDAQ
CBSH,"Commerce Bancshares, Inc.",58.25,$6.44B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cbsh,NASDAQ
CBSHP,"Commerce Bancshares, Inc.",26.4133,$2.42B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cbshp,NASDAQ
CVGI,"Commercial Vehicle Group, Inc.",7.01,$219.12M,2004,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/cvgi,NASDAQ
COMM,"CommScope Holding Company, Inc.",15.81,$3.06B,2013,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/comm,NASDAQ
JCS,"Communications Systems, Inc.",3.01,$28.04M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/jcs,NASDAQ
ESXB,Community Bankers Trust Corporation.,7.78,$172.47M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/esxb,NASDAQ
CFBI,"Community First Bancshares, Inc.",10.09,$74.92M,2017,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cfbi,NASDAQ
CTBI,"Community Trust Bancorp, Inc.",40.22,$714.82M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/ctbi,NASDAQ
CWBC,Community West Bancshares,9.71,$82.05M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cwbc,NASDAQ
CVLT,"Commvault Systems, Inc.",48,$2.19B,2006,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cvlt,NASDAQ
CGEN,Compugen Ltd.,3.47,$207.86M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cgen,NASDAQ
CPSI,"Computer Programs and Systems, Inc.",26.38,$378.69M,2002,Technology,EDP Services,https://www.nasdaq.com/symbol/cpsi,NASDAQ
CTG,"Computer Task Group, Incorporated",4.06,$57.96M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/ctg,NASDAQ
SCOR,"comScore, Inc.",8.38,$507.52M,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/scor,NASDAQ
CHCI,"Comstock Holding Companies, Inc.",2.6,$10.1M,2004,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/chci,NASDAQ
CMTL,Comtech Telecommunications Corp.,27.15,$655.34M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/cmtl,NASDAQ
CNAT,Conatus Pharmaceuticals Inc.,0.712,$23.61M,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cnat,NASDAQ
CNCE,"Concert Pharmaceuticals, Inc.",11,$261.76M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cnce,NASDAQ
BBCP,"Concrete Pumping Holdings, Inc. ",4.05,$235.71M,2017,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/bbcp,NASDAQ
CDOR,"Condor Hospitality Trust, Inc.",9.06,$108M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cdor,NASDAQ
CFMS,"ConforMIS, Inc.",4.44,$301.39M,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/cfms,NASDAQ
CNFR,"Conifer Holdings, Inc.",3.885,$32.4M,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cnfr,NASDAQ
CNFRL,"Conifer Holdings, Inc.",21,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/cnfrl,NASDAQ
CNMD,CONMED Corporation,83.15,$2.35B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/cnmd,NASDAQ
CTWS,"Connecticut Water Service, Inc.",68.03,$820.66M,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/ctws,NASDAQ
CNOB,"ConnectOne Bancorp, Inc.",21.91,$776.84M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cnob,NASDAQ
CONN,"Conn&#39;s, Inc.",17.4,$555.44M,2003,Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/conn,NASDAQ
CNSL,"Consolidated Communications Holdings, Inc.",4.76,$343.19M,2005,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/cnsl,NASDAQ
CWCO,Consolidated Water Co. Ltd.,13.72,$206.08M,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/cwco,NASDAQ
CNAC,Constellation Alpha Capital Corp.,10.24,$54.71M,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnac,NASDAQ
CNACR,Constellation Alpha Capital Corp.,0.21,n/a,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnacr,NASDAQ
CNACU,Constellation Alpha Capital Corp.,10.15,$188.08M,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnacu,NASDAQ
CNACW,Constellation Alpha Capital Corp.,0.052,n/a,2017,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/cnacw,NASDAQ
CNST,"Constellation Pharmaceuticals, Inc.",9.61,$248.01M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cnst,NASDAQ
ROAD,"Construction Partners, Inc.",13.16,$676.62M,2018,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/road,NASDAQ
CPSS,"Consumer Portfolio Services, Inc.",3.55,$78.63M,1992,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/cpss,NASDAQ
CFRX,ContraFect Corporation,0.4692,$37.26M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cfrx,NASDAQ
CTRV,ContraVir Pharmaceuticals Inc.,9.71,$5.73M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctrv,NASDAQ
CTRL,Control4 Corporation,23.72,$632.4M,2013,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/ctrl,NASDAQ
AWSM,Cool Holdings Inc.,2.01,$16.62M,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/awsm,NASDAQ
CPRT,"Copart, Inc.",73.22,$16.78B,1994,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/cprt,NASDAQ
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",7.12,$458.92M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crbp,NASDAQ
CORT,Corcept Therapeutics Incorporated,10.37,$1.19B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cort,NASDAQ
CORE,"Core-Mark Holding Company, Inc.",37.82,$1.73B,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/core,NASDAQ
CSOD,"Cornerstone OnDemand, Inc.",54.84,$3.27B,2011,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/csod,NASDAQ
CORV,Correvio Pharma Corp.,2.24,$89.27M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/corv,NASDAQ
CRTX,"Cortexyme, Inc.",38.22,$1.03B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/crtx,NASDAQ
CLDB,Cortland Bancorp,25,$109.6M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/cldb,NASDAQ
CRVL,CorVel Corp.,82.13,$1.52B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/crvl,NASDAQ
CRVS,"Corvus Pharmaceuticals, Inc.",3.63,$106.46M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crvs,NASDAQ
CSGP,"CoStar Group, Inc.",554.61,$20.27B,1998,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/csgp,NASDAQ
COST,Costco Wholesale Corporation,261.43,$114.97B,n/a,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/cost,NASDAQ
CPAH,CounterPath Corporation,1.54,$9.16M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cpah,NASDAQ
ICBK,"County Bancorp, Inc.",16.79,$112.73M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/icbk,NASDAQ
COUP,Coupa Software Incorporated,122.16,$7.55B,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/coup,NASDAQ
CVTI,"Covenant Transportation Group, Inc.",15.05,$276.45M,1994,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/cvti,NASDAQ
CVET,"Covetrus, Inc.",24.44,$2.73B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/cvet,NASDAQ
COWN,Cowen Inc.,16.21,$479.59M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cown,NASDAQ
COWNL,Cowen Inc.,25.5006,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cownl,NASDAQ
COWNZ,Cowen Inc.,25.5981,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/cownz,NASDAQ
PMTS,CPI Card Group Inc.,2.6077,$29.1M,2015,Finance,Finance Companies,https://www.nasdaq.com/symbol/pmts,NASDAQ
CPSH,CPS Technologies Corp.,1.07,$14.13M,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cpsh,NASDAQ
CRAI,"CRA International,Inc.",36.79,$295.83M,1998,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/crai,NASDAQ
CBRL,"Cracker Barrel Old Country Store, Inc.",169.97,$4.09B,1981,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/cbrl,NASDAQ
BREW,"Craft Brew Alliance, Inc.",13.8,$267.93M,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/brew,NASDAQ
CRAY,Cray Inc,34.55,$1.42B,n/a,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/cray,NASDAQ
CREX,"Creative Realities, Inc.",2.1,$20.42M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/crex,NASDAQ
CREXW,"Creative Realities, Inc.",0.44,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/crexw,NASDAQ
CACC,Credit Acceptance Corporation,488.44,$9.18B,1992,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/cacc,NASDAQ
DGLD,Credit Suisse AG,41.82,$16.9M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dgld,NASDAQ
DSLV,Credit Suisse AG,31.57,$30.27M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/dslv,NASDAQ
GLDI,Credit Suisse AG,8.95,$34.38M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/gldi,NASDAQ
SLVO,Credit Suisse AG,6.5499,$19.99M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/slvo,NASDAQ
TVIX,Credit Suisse AG,20.45,$786.98M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/tvix,NASDAQ
UGLD,Credit Suisse AG,103.64,$111.57M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ugld,NASDAQ
USLV,Credit Suisse AG,60.46,$224.5M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/uslv,NASDAQ
USOI,Credit Suisse AG,19.777,$7.02M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/usoi,NASDAQ
VIIX,Credit Suisse AG,11.45,$42.93M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/viix,NASDAQ
ZIV,Credit Suisse AG,73.3,$90.75M,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ziv,NASDAQ
CREE,"Cree, Inc.",54.64,$5.75B,1993,Technology,Semiconductors,https://www.nasdaq.com/symbol/cree,NASDAQ
CRSA,Crescent Acquisition Corp,9.77,$244.25M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/crsa,NASDAQ
CRSAU,Crescent Acquisition Corp,10.07,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/crsau,NASDAQ
CRSAW,Crescent Acquisition Corp,0.65,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/crsaw,NASDAQ
CRESY,Cresud S.A.C.I.F. y A.,10.74,$538.76M,1997,Finance,Real Estate,https://www.nasdaq.com/symbol/cresy,NASDAQ
CRNX,"Crinetics Pharmaceuticals, Inc.",22.77,$549.63M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/crnx,NASDAQ
CRSP,CRISPR Therapeutics AG,47.07,$2.58B,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/crsp,NASDAQ
CRTO,Criteo S.A.,18.55,$1.22B,2013,Technology,Advertising,https://www.nasdaq.com/symbol/crto,NASDAQ
CROX,"Crocs, Inc.",17.85,$1.28B,2006,Consumer Non-Durables,Shoe Manufacturing,https://www.nasdaq.com/symbol/crox,NASDAQ
CRON,Cronos Group Inc.,15.85,$5.28B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cron,NASDAQ
CCRN,"Cross Country Healthcare, Inc.",8.36,$307.87M,2001,Technology,Professional Services,https://www.nasdaq.com/symbol/ccrn,NASDAQ
CRWD,"CrowdStrike Holdings, Inc.",70.01,$496.6M,2019,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/crwd,NASDAQ
CRWS,"Crown Crafts, Inc.",4.53,$45.84M,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/crws,NASDAQ
CYRX,"CryoPort, Inc.",18.55,$567.01M,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/cyrx,NASDAQ
CYRXW,"CryoPort, Inc.",15.23,n/a,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/cyrxw,NASDAQ
CSGS,"CSG Systems International, Inc.",47.14,$1.57B,1996,Technology,EDP Services,https://www.nasdaq.com/symbol/csgs,NASDAQ
CCLP,CSI Compressco LP,3.26,$153.43M,2011,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/cclp,NASDAQ
CSPI,CSP Inc.,15.2,$62.9M,1982,Technology,EDP Services,https://www.nasdaq.com/symbol/cspi,NASDAQ
CSWI,"CSW Industrials, Inc.",67.07,$1.01B,n/a,Basic Industries,Home Furnishings,https://www.nasdaq.com/symbol/cswi,NASDAQ
CSX,CSX Corporation,76.7,$62.06B,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/csx,NASDAQ
CTIC,CTI BioPharma Corp.,0.93,$53.92M,1997,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctic,NASDAQ
CTIB,CTI Industries Corporation,3.23,$12.07M,1997,Basic Industries,Specialty Chemicals,https://www.nasdaq.com/symbol/ctib,NASDAQ
CTRP,"Ctrip.com International, Ltd.",33.86,$18.72B,2003,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ctrp,NASDAQ
CUE,"Cue Biopharma, Inc.",7.92,$164.6M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cue,NASDAQ
CUI,"CUI Global, Inc.",0.915,$26.18M,n/a,Technology,Electronic Components,https://www.nasdaq.com/symbol/cui,NASDAQ
CPIX,Cumberland Pharmaceuticals Inc.,6.1674,$95.82M,2009,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cpix,NASDAQ
CMLS,Cumulus Media Inc.,17.28,$292.42M,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/cmls,NASDAQ
CRIS,"Curis, Inc.",1.5,$49.73M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/cris,NASDAQ
CUTR,"Cutera, Inc.",18.45,$258.98M,2004,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/cutr,NASDAQ
CVBF,CVB Financial Corporation,20.94,$2.93B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cvbf,NASDAQ
CVV,CVD Equipment Corporation,3.6709,$24.06M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/cvv,NASDAQ
CYAN,Cyanotech Corporation,3,$17.51M,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/cyan,NASDAQ
CYBR,CyberArk Software Ltd.,128.69,$4.84B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cybr,NASDAQ
CYBE,CyberOptics Corporation,15.87,$112.78M,1987,Capital Goods,Electronic Components,https://www.nasdaq.com/symbol/cybe,NASDAQ
CYCC,"Cyclacel Pharmaceuticals, Inc.",0.5573,$9.59M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cycc,NASDAQ
CYCCP,"Cyclacel Pharmaceuticals, Inc.",4.9,$1.64M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cyccp,NASDAQ
CYCN,"Cyclerion Therapeutics, Inc.",10.76,$294.84M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cycn,NASDAQ
CBAY,CymaBay Therapeutics Inc.,6.56,$450.63M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cbay,NASDAQ
CY,Cypress Semiconductor Corporation,22.03,$8.06B,1986,Technology,Semiconductors,https://www.nasdaq.com/symbol/cy,NASDAQ
CYRN,CYREN Ltd.,1.65,$89.87M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/cyrn,NASDAQ
CONE,CyrusOne Inc,60.16,$6.81B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cone,NASDAQ
CYTK,"Cytokinetics, Incorporated",10.75,$620.5M,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/cytk,NASDAQ
CTMX,"CytomX Therapeutics, Inc.",10.79,$488.91M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ctmx,NASDAQ
CYTX,Cytori Therapeutics Inc.,0.2594,$5.75M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cytx,NASDAQ
CYTXZ,Cytori Therapeutics Inc.,0.0025,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/cytxz,NASDAQ
CTSO,Cytosorbents Corporation,6.62,$213.49M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ctso,NASDAQ
DJCO,Daily Journal Corp. (S.C.),223.45,$308.53M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/djco,NASDAQ
DAKT,"Daktronics, Inc.",6.15,$277.86M,1994,Consumer Durables,Miscellaneous manufacturing industries,https://www.nasdaq.com/symbol/dakt,NASDAQ
DARE,"Dare Bioscience, Inc.",0.9148,$15.26M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dare,NASDAQ
DRIO,DarioHealth Corp.,0.46,$17.48M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/drio,NASDAQ
DRIOW,DarioHealth Corp.,0.0173,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/driow,NASDAQ
DZSI,"DASAN Zhone Solutions, Inc.",12.95,$215.06M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/dzsi,NASDAQ
DSKE,"Daseke, Inc.",4.1,$264.43M,2015,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/dske,NASDAQ
DSKEW,"Daseke, Inc.",0.179,n/a,2015,Consumer Services,Transportation Services,https://www.nasdaq.com/symbol/dskew,NASDAQ
DAIO,Data I/O Corporation,4.4,$36.16M,1981,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/daio,NASDAQ
DTSS,Datasea Inc.,1.48,$31M,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/dtss,NASDAQ
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",40.39,$1.47B,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/play,NASDAQ
DTEA,DAVIDsTEA Inc.,1.32,$34.34M,2015,Consumer Non-Durables,Food Chains,https://www.nasdaq.com/symbol/dtea,NASDAQ
DFNL,Davis Select Financial ETF,22.6898,$142.95M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dfnl,NASDAQ
DINT,Davis Select International ETF,17.0451,$108.24M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dint,NASDAQ
DUSA,Davis Select U.S. Equity ETF,22.9101,$187.86M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dusa,NASDAQ
DWLD,Davis Select Worldwide ETF,22.5032,$216.03M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwld,NASDAQ
DWSN,Dawson Geophysical Company,2.12,$49.12M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/dwsn,NASDAQ
DBVT,DBV Technologies S.A.,8.15,$588.92M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dbvt,NASDAQ
DDMX,DD3 Acquisition Corp.,10,$72.23M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ddmx,NASDAQ
DDMXU,DD3 Acquisition Corp.,10.22,$73.82M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ddmxu,NASDAQ
DDMXW,DD3 Acquisition Corp.,0.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/ddmxw,NASDAQ
DCPH,"Deciphera Pharmaceuticals, Inc.",23.06,$880.64M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dcph,NASDAQ
DFRG,"Del Frisco&#39;s Restaurant Group, Inc.",6.6,$220.55M,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/dfrg,NASDAQ
TACO,"Del Taco Restaurants, Inc.",11.34,$416.69M,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/taco,NASDAQ
TACOW,"Del Taco Restaurants, Inc.",1.55,n/a,2014,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/tacow,NASDAQ
DMPI,"DelMar Pharmaceuticals, Inc.",1.6,$6.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dmpi,NASDAQ
DNLI,Denali Therapeutics Inc.,19.55,$1.87B,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/dnli,NASDAQ
DENN,Denny&#39;s Corporation,20.83,$1.26B,n/a,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/denn,NASDAQ
XRAY,DENTSPLY SIRONA Inc.,56.66,$13.26B,1987,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/xray,NASDAQ
DERM,"Dermira, Inc.",9.91,$531.85M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/derm,NASDAQ
DEST,Destination Maternity Corporation,1,$14.34M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dest,NASDAQ
DXLG,"Destination XL Group, Inc.",1.73,$86.27M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/dxlg,NASDAQ
DSWL,"Deswell Industries, Inc.",2.87,$45.59M,1995,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/dswl,NASDAQ
DXCM,"DexCom, Inc.",150.34,$13.69B,2005,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/dxcm,NASDAQ
DFBH,DFB Healthcare Acquisitions Corp.,10.071,$314.72M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbh,NASDAQ
DFBHU,DFB Healthcare Acquisitions Corp.,10.4747,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbhu,NASDAQ
DFBHW,DFB Healthcare Acquisitions Corp.,1.25,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/dfbhw,NASDAQ
DHXM,DHX Media Ltd.,1.37,$184.84M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dhxm,NASDAQ
DMAC,DiaMedica Therapeutics Inc.,3.68,$44M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/dmac,NASDAQ
DEACU,Diamond Eagle Acquisition Corp.,10.06,$352.1M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/deacu,NASDAQ
DHIL,"Diamond Hill Investment Group, Inc.",139.6,$487.87M,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/dhil,NASDAQ
FANG,"Diamondback Energy, Inc.",101.58,$16.73B,2012,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/fang,NASDAQ
DPHC,DiamondPeak Holdings Corp.,9.81,$343.35M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphc,NASDAQ
DPHCU,DiamondPeak Holdings Corp.,10.04,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphcu,NASDAQ
DPHCW,DiamondPeak Holdings Corp.,0.78,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/dphcw,NASDAQ
